Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
2,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20803005.html,Completado,1264,0,0.85,,Licenciatura 2026,100,1264,810,84,212
2,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20805005.html,Completado,777,0,0.66,,Licenciatura 2026,50,777,473,91,76
2,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22705005.html,Completado,282,0,0.38,,Licenciatura 2026,55,282,171,57,69
2,222,22206005,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22206005.html,Completado,418,0,0.37,,Licenciatura 2026,65,418,268,69,80
2,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20903005.html,Completado,115,0,0.31,,Licenciatura 2026,37,115,74,49,42
2,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/20906005.html,Completado,45,0,0.23,,Licenciatura 2026,39,45,35,40,29
2,228,22810005,ORTESIS Y PROTESIS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/22810005.html,Completado,63,0,0.24,,Licenciatura 2026,25,63,33,47,30
2,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000195.html,Completado,596,0,0.34,,Licenciatura 2026,80,596,372,74,142
2,210,21003005,PSICOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21003005.html,Completado,683,0,0.5,,Licenciatura 2026,110,683,407,59,180
2,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21005005.html,Completado,665,0,0.43,,Licenciatura 2026,150,665,452,64,152
2,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21000015.html,Completado,41,0,0.47,,Licenciatura 2026,8,41,21,48,15
2,210,21010005,PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21010005.html,Completado,70,0,0.2,,Licenciatura 2026,40,70,54,45,54
2,211,21100055,QUIMICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21100055.html,Completado,88,0,0.22,,Licenciatura 2026,32,88,63,80,37
