Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados
3,313,31306005,ECONOMIA INDUSTRIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31306005.html
3,317,31707005,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31707005.html
3,307,30700105,GEOGRAFIA,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30700105.html
3,322,32200175,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32200175.html
3,322,32208005,GEOGRAFIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32208005.html
3,308,30801005,INFORMATICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30801005.html
3,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30904005.html
3,310,31000045,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31000045.html
3,310,31002005,RELACIONES INTERNACIONALES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31002005.html
3,310,31004005,RELACIONES INTERNACIONALES,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31004005.html
3,310,31006005,RELACIONES INTERNACIONALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31006005.html
3,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31100045.html
3,311,31102005,SOCIOLOGIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31102005.html
3,311,31104005,SOCIOLOGIA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31104005.html
3,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32408005.html
3,312,31200155,TRABAJO SOCIAL,ESCUELA NACIONAL DE TRABAJO SOCIAL,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31200155.html
3,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/32306005.html
4,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43700105.html
4,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43402055.html
4,434,43407005,ARTE Y DISEÑO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/43407005.html
4,401,40100025,ARTES VISUALES,FACULTAD DE ARTES Y DISEÑO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40100025.html
4,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40200105.html
4,403,40300135,CANTO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40300135.html
4,404,40400135,COMPOSICION,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/40400135.html
4,429,42900105,DESARROLLO Y GESTION INTERCULTURALES,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42900105.html
4,429,42906005,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/4/42906005.html
